what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1366614079846
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1366614079848
started,bundle,org.eclipse.m2e.discovery,1.2.0.20120903-1050,"org.eclipse.m2e.discovery",1366614079848
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1366614079862
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1366614079874
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1366614079874
started,bundle,com.google.gdt.eclipse.core,3.2.2.v201303261859-rel-r37,"com.google.gdt.eclipse.core",1366614079874
started,bundle,com.google.gdt.eclipse.designer,3.1.2.r37x201303061530,"com.google.gdt.eclipse.designer",1366614079885
started,bundle,com.google.gdt.eclipse.designer.UiBinder,3.1.2.r37x201303061530,"com.google.gdt.eclipse.designer.UiBinder",1366614079895
started,bundle,com.google.gdt.eclipse.login,3.2.2.v201303261859-rel-r37,"com.google.gdt.eclipse.login",1366614079896
started,bundle,com.google.gdt.eclipse.managedapis,3.2.2.v201303261859-rel-r37,"com.google.gdt.eclipse.managedapis",1366614079896
started,bundle,com.google.gdt.eclipse.suite.ext,3.2.2.v201303261859-rel-r37,"com.google.gdt.eclipse.suite.ext",1366614079897
started,bundle,org.eclipse.wb.core,1.5.2.r37x201303061457,"org.eclipse.wb.core",1366614079897
started,bundle,org.eclipse.wb.core.java,1.5.2.r37x201303061505,"org.eclipse.wb.core.java",1366614079917
started,bundle,org.eclipse.wb.core.lib,1.5.2.r37x201303061457,"org.eclipse.wb.core.lib",1366614079938
os,sysinfo,,,"win32",1366614079943
arch,sysinfo,,,"x86",1366614079943
ws,sysinfo,,,"win32",1366614079943
locale,sysinfo,,,"en_IN",1366614079943
processors,sysinfo,,,"4",1366614079943
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1366614079943
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1366614079943
java.specification.name,sysinfo,,,"Java Platform API Specification",1366614079943
java.specification.vendor,sysinfo,,,"Oracle Corporation",1366614079943
java.specification.version,sysinfo,,,"1.7",1366614079943
java.vendor,sysinfo,,,"Oracle Corporation",1366614079943
java.version,sysinfo,,,"1.7.0_17",1366614079943
java.vm.info,sysinfo,,,"mixed mode, sharing",1366614079943
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1366614079943
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1366614079943
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1366614079943
java.vm.specification.version,sysinfo,,,"1.7",1366614079943
java.vm.vendor,sysinfo,,,"Oracle Corporation",1366614079943
java.vm.version,sysinfo,,,"23.7-b01",1366614079943
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1366614080127
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1366614080178
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366614080318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366614099804
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1366614100930
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1366614100957
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1366614100981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366614106389
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366614110687
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366614110799
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1366614111696
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1366614111698
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1366614111698
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1366614111699
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1366614111700
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1366614111700
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1366614111701
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1366614111702
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1366614111702
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1366614111704
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1366614111704
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1366614111705
